$id,name,description,condition,grade,status,effect:SPR,effect:MNY,effect:CHR,effect:STR,effect:INT,exclusive[],exclusive[],exclusive[],exclusive[],exclusive[],exclusive[],replacement
1059,老板信仰,老板相信你能改变公司。你先改变了预算。,,1,1,0,2,1,0,0,,,,,,,
1060,重开遗传,每一次归档，都会留下一个奇怪但有用的小习惯。,,3,2,1,1,1,1,1,,,,,,,
1061,中文原生,你不是把英文翻成中文。你本来就会用中文呼吸。,,2,1,1,0,3,0,1,,,,,,,
1062,梗感雷达,你知道什么时候该踩梗，也知道什么时候该闭嘴。,,2,1,1,0,2,0,0,,,,,,,
1063,材料洁癖,你看材料会标出处。虽然慢一点，但很少瞎编。,,2,1,2,0,0,1,2,,,,,,,
1064,PRD 读心术,你能从“空气感”里读出三版需求。,,2,1,0,0,2,1,1,,,,,,,
1065,稳稳接住但不乱舔,你先接住人，再接住事实。顺序很重要。,,3,1,3,0,2,0,1,,,,,,,
1066,空气感调音台,你能把过度用力的文案拧松半圈。,,1,1,1,0,3,0,0,,,,,,,
1067,开源鲸落,你死后会长出很多小模型。好消息是很多，坏消息也是很多。,,3,1,0,2,1,1,2,,,,,,,
1068,Guardrail 纹身,你把边界写在身上。别人看不见，但工具调用看得见。,,2,1,3,0,0,2,0,,,,,,,
1069,不做春晚型踩梗,你知道密集玩梗会让空气变硬。,,1,1,1,0,2,0,0,,,,,,,
1070,会议纪要听诊器,你能听出会议里真正的病灶：没人知道要什么。,,2,1,0,0,1,1,2,,,,,,,
1071,参数双语脑,你能把 CHR 说成人话，也能让引擎继续认识它。,,2,1,1,0,1,1,1,,,,,,,
1072,轻量 AI 体质,你不追求全自动，先把一个小功能做舒服。,,1,1,1,1,1,1,0,,,,,,,
