$id,event,talent
20,"900171*12,900172*12,900173*12,900174*12,900175*12,900176*12,900177*12,900178*12,900179*12,900180*12,900181*12,900182*12,900183*12,900184*12,900185*12,900186*12,900187*12,900188*12,900189*12,900190*12,900191*12,900192*12,900193*12,900194*12,900195*12,900196*12,900197*12,900198*12,900199*12,900200*12,900201*12,900202*12,900203*12,900204*12,900205*12,900206*12,900207*12,900208*12,900209*12,900210*12,900211*12,900212*12,900213*12,900214*12,900215*12,900216*12,900217*12,900218*12,900219*12,900220*12,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900436*7,900437*7,900438*7,900439*7,900440*7,900441*7,900442*7,900443*7,900444*7,900445*7,900446*7,900447*7,900448*7,900449*7,900450*7,900451*7,900452*7,900453*7,900454*7,900455*7,900456*7,900457*7,900458*7,900459*7,900460*7,900461*7,900462*7,900463*7,900464*7,900465*7",
21,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
22,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
23,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
24,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
25,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
26,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
27,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
28,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
29,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
30,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
31,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
32,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
33,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
34,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
35,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
36,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
37,"900231*10,900232*10,900233*10,900234*10,900235*10,900236*10,900237*10,900238*10,900239*10,900240*10,900241*10,900242*10,900243*10,900244*10,900245*10,900246*10,900247*10,900248*10,900249*10,900250*10,900251*10,900252*10,900253*10,900254*10,900255*10,900256*10,900257*10,900258*10,900259*10,900260*10,900261*10,900262*10,900263*10,900264*10,900265*10,900266*10,900267*10,900268*10,900269*10,900270*10,900271*10,900272*10,900273*10,900274*10,900275*10,900276*10,900277*10,900278*10,900279*10,900280*10,900181*5,900182*5,900183*5,900184*5,900185*5,900186*5,900187*5,900188*5,900189*5,900190*5,900191*5,900192*5,900193*5,900194*5,900195*5,900196*5,900197*5,900198*5,900199*5,900200*5,900201*5,900202*5,900203*5,900204*5,900205*5,900206*5,900207*5,900208*5,900209*5,900210*5,900211*5,900212*5,900213*5,900214*5,900215*5,900216*5,900217*5,900218*5,900219*5,900220*5,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900371*5,900372*5,900373*5,900374*5,900375*5,900376*5,900377*5,900378*5,900379*5,900380*5,900381*5,900382*5,900383*5,900384*5,900385*5,900386*5,900387*5,900388*5,900389*5,900390*5,900436*6,900437*6,900438*6,900439*6,900440*6,900441*6,900442*6,900443*6,900444*6,900445*6,900446*6,900447*6,900448*6,900449*6,900450*6,900451*6,900452*6,900453*6,900454*6,900455*6,900456*6,900457*6,900458*6,900459*6,900460*6,900461*6,900462*6,900463*6,900464*6,900465*6",
